timestep,mean_return,std_return,mean_ep_len,return_per_step
42000,25.019037,0.6772815294422249,18.6,1.3451095161290323
43000,25.007232,0.6643850740587118,18.6,1.3444748387096772
44000,27.585763800000002,0.690713157045209,20.4,1.352243323529412
45000,27.041259000000004,0.0031740028985491604,20.0,1.35206295
46000,32.447232799999995,1.6692540342031104,23.8,1.3633291092436972
47000,32.9367866,2.433665122818469,24.2,1.3610242396694214
48000,38.5077918,1.9200172863685792,28.0,1.3752782785714286
49000,40.445279400000004,1.2011062857473684,29.4,1.3756897755102042
50000,45.779197,2.287576618817564,33.4,1.370634640718563
51000,44.02841600000001,3.5004398447312854,32.0,1.3758880000000002
52000,47.4872304,3.960953495540769,34.6,1.3724633063583815
53000,47.169829799999995,4.213970945479781,34.4,1.3712159825581394
54000,61.9393378,5.93793378121425,45.2,1.370339331858407
55000,64.25432500000001,5.343188131138374,47.2,1.3613204449152543
56000,59.106638,18.918065818596425,70.0,0.8443805428571428
57000,59.031952000000004,15.831543389348493,64.6,0.9138073065015482
58000,77.98573060000001,20.38900200133512,78.4,0.9947159515306123
59000,62.4095942,20.766133256792003,71.2,0.8765392443820225
60000,52.6290006,25.95488006196015,60.2,0.8742358903654485
61000,66.863023,31.239378211550505,61.8,1.081925938511327
62000,79.446477,43.204010116421344,84.2,0.9435448574821853
63000,80.52032080000001,48.77609376037993,77.0,1.045718451948052
64000,129.79777280000002,54.33132829110624,115.2,1.126716777777778
65000,91.0575128,38.86853996643322,100.8,0.9033483412698413
66000,188.50907300000003,54.10710886565314,134.4,1.4025972693452382
67000,161.6527258,29.001140850914975,119.6,1.3516114197324416
68000,113.5547794,28.06494161741081,87.8,1.293334617312073
69000,139.5918552,16.194827464513853,96.6,1.4450502608695652
70000,185.3145134,74.74605178723318,152.8,1.2127913180628271
71000,142.1971286,41.64443150385781,131.8,1.0788856494688923
72000,170.1772936,68.77223334299367,151.6,1.1225415145118736
73000,167.4078174,72.40578122221763,132.2,1.2663223706505295
74000,136.72319299999998,48.53333543843182,104.2,1.3121227735124759
75000,209.77671479999998,93.55136053260823,140.0,1.4984051057142855
76000,255.3594846,70.62506236691127,166.0,1.538310148192771
77000,205.5479628,68.51368748548546,137.4,1.4959822620087335
78000,235.7970486,70.37649728908916,167.2,1.4102694294258376
79000,222.2027864,66.81206389923918,144.8,1.534549629834254
80000,143.71840820000003,19.180118519562715,112.8,1.2740993634751776
81000,191.81546899999998,46.30112134730897,130.2,1.4732370890937019
82000,160.241497,37.72844440862663,122.6,1.3070268923327897
83000,170.91677620000002,39.895652039840975,116.8,1.4633285633561646
84000,181.8169484,22.694801597479266,118.2,1.538214453468697
85000,170.5998686,31.17947071209631,123.2,1.3847391931818183
86000,178.26809459999998,43.72770678712023,147.6,1.207778418699187
87000,239.84175599999998,41.91655133434271,183.4,1.3077522137404578
88000,233.34553020000004,32.423942291581234,155.0,1.5054550335483874
89000,261.4592654,8.079426969054834,180.2,1.450939319644839
90000,262.7278336,66.0367563571487,177.4,1.480991170236753
91000,252.2412182,49.522553353611784,175.4,1.4380913238312427
92000,234.2717726,8.36460499818237,163.4,1.4337317784577723
93000,245.1666826,12.687713910695873,168.2,1.4575902651605233
94000,249.73606579999995,13.119901976319417,167.4,1.4918522449223413
95000,290.19193440000004,12.927444419635508,189.2,1.5337840084566599
96000,287.37502379999995,15.641415707129552,182.8,1.5720734343544853
97000,301.3161568,15.318094491763048,185.8,1.6217231259418727
98000,304.2243564,10.32692485597512,187.8,1.6199379999999999
99000,311.3119998,14.883789350881047,192.4,1.618045737006237
100000,304.5942664,13.110113837379053,189.4,1.6082062639915522
101000,308.497662,15.44805100023286,190.4,1.6202608298319328
102000,309.0998608,15.529989434087451,191.6,1.6132560584551148
103000,315.0469004,9.904201873209207,197.2,1.5976009148073025
104000,326.8015942,4.110987395517064,205.2,1.5926003615984408
105000,296.00495220000005,15.22684294852431,187.6,1.5778515575692966
106000,286.1572006,9.74407044914759,181.6,1.5757555099118943
107000,277.2780856,7.047029228808001,177.2,1.564774749435666
108000,271.5242714,12.007485396736476,175.2,1.549796069634703
109000,266.9605932,7.0414222989862125,170.8,1.563001131147541
110000,250.6463206,6.376097937285488,163.6,1.5320679743276284
111000,242.67580379999998,9.708547349098305,157.6,1.5398210901015228
112000,242.92853340000002,13.657908728423983,157.8,1.5394710608365019
113000,236.75530479999998,2.1338600151175253,157.8,1.5003504740177438
114000,237.05183660000003,7.663620139922713,159.4,1.4871507942283564
115000,218.7811036,9.183999240149571,152.2,1.4374579737187911
116000,214.4601146,9.460527049741644,152.6,1.405374276539974
117000,232.04929639999995,6.269695720171638,157.4,1.4742649072426934
118000,241.3594098,8.382153567557406,161.4,1.4954114609665428
119000,218.09587040000002,8.2068491201167,152.6,1.4291996749672349
120000,224.431352,5.946794553473625,155.4,1.4442171943371942
121000,188.7012858,3.7694561797136426,148.6,1.269860604306864
122000,192.1852906,9.037545300549677,149.4,1.2863807938420349
123000,181.64382500000002,7.287760441018219,138.4,1.312455382947977
124000,178.44838380000002,6.37959024630098,140.8,1.2673890894886364
125000,166.5037292,12.40204069834113,130.8,1.2729642905198777
126000,172.2372234,13.0657518587355,130.8,1.3167983440366973
127000,182.19890900000001,6.217204400539199,133.6,1.363764288922156
128000,177.06582799999998,5.188132408302703,132.6,1.3353380693815988
129000,173.38934,11.826253434659673,133.0,1.3036792481203008
130000,181.3254868,3.5556516410381627,141.6,1.2805472231638417
131000,188.92038,9.336007441119072,142.8,1.3229718487394957
132000,182.5764918,4.266135625379792,140.4,1.3004023632478634
133000,188.5619304,7.026308012085962,144.0,1.30945785
134000,190.5895614,5.9998114316177205,138.2,1.3790851041968164
135000,198.0467054,3.0926091941942193,140.0,1.4146193242857144
136000,205.98443740000002,3.584984677311558,145.0,1.4205823268965518
137000,212.3025898,6.528870330238621,147.2,1.4422730285326089
138000,220.69702339999998,8.08242190029414,151.8,1.4538670843214754
139000,225.24458560000002,10.465815771581147,154.4,1.4588379896373058
140000,218.2164088,7.863230634676854,150.2,1.4528389400798936
141000,215.7331658,5.914480582301351,148.8,1.4498196626344084
142000,231.01336099999997,10.006915094374287,159.4,1.449268262233375
143000,240.2622774,13.024521191114934,164.8,1.4579021686893203
144000,215.98148520000004,5.58045692814803,151.6,1.4246799815303433
145000,212.1318694,5.61276105292037,150.4,1.4104512593085106
146000,228.070591,9.443939970199366,155.2,1.4695270038659796
147000,231.511161,5.22351632206762,158.0,1.4652605126582279
148000,239.626481,11.13036928481286,159.4,1.5033028920953577
149000,244.4664296,14.876378354356728,161.2,1.5165411265508686
150000,255.8168992,13.656415301706486,170.4,1.501272882629108
151000,259.3130406,5.982494359737839,172.6,1.5023930509849364
152000,248.5681246,5.17485027044603,165.2,1.5046496646489105
153000,260.8592776,6.934342668477604,169.6,1.538085363207547
154000,270.0150024,5.165172392205109,179.2,1.5067801473214288
155000,261.5549878,5.9248609157966685,174.4,1.4997419025229357
156000,267.78988940000005,3.135030581936738,177.6,1.5078259538288292
157000,273.365423,10.293909669373477,179.0,1.5271811340782124
158000,282.2406002,16.902523885779686,184.8,1.5272759751082252
159000,271.43545819999997,14.95811626093764,180.6,1.50296488482835
160000,290.85229100000004,17.546565379547815,188.6,1.542164851537646
161000,276.9942978,5.986391341382158,180.2,1.5371492663706994
162000,282.1581072,6.32003263908608,182.6,1.5452251215772181
163000,294.3351846,5.866489025940015,190.4,1.5458780703781512
164000,295.569027,17.868301495737285,191.0,1.5474818167539268
165000,289.0189604,16.270611629579722,187.0,1.5455559379679147
166000,303.4075612,14.4119309691486,196.2,1.5464197818552496
167000,293.6886214,8.391235210462296,190.0,1.5457295863157894
168000,282.386638,7.994204390142645,184.8,1.528066222943723
169000,280.5179544,8.810362255951189,184.4,1.5212470412147505
170000,299.31802000000005,13.587419048209743,191.6,1.5622026096033406
171000,302.7154036,9.971535223809303,195.6,1.547624762781186
172000,296.5454758,15.497071853981646,191.4,1.5493494033437827
173000,299.4296168,12.509215316901734,192.0,1.5595292541666668
174000,300.1551966,14.473810750416407,194.6,1.5424213597122303
175000,290.76580019999994,15.66710701737764,185.6,1.5666260786637929
176000,287.8301004,5.9704732556380975,184.8,1.557522188311688
177000,292.06052880000004,3.703383617986954,188.2,1.551862533475027
178000,299.150065,15.045378450538708,193.0,1.5500003367875648
179000,288.467867,14.427300342699505,186.0,1.5509025107526881
180000,287.19441459999996,6.25468092559302,184.4,1.55745344143167
181000,284.79843100000005,12.189359724580793,186.2,1.52952970461869
182000,281.2625236,14.36650375484792,184.6,1.5236323055254606
183000,295.57969540000005,7.925694323143121,190.0,1.5556826073684213
184000,277.43864920000004,14.28621408564447,179.2,1.5482067477678574
185000,293.0656394,11.069744066026422,189.0,1.5506118486772487
186000,303.839452,13.67059680219685,193.4,1.571041633919338
187000,271.2472,3.797579367997997,178.0,1.5238606741573035
